station,history_days,pred_len,model,MAE,RMSE,NMAE,NRMSE,R2
station00,5,16,MultiStep,0.33605945110321045,0.6050185467895849,0.06467539824496635,0.11643718196513293,0.8486536741256714
station00,5,16,Iterative,0.4061402678489685,0.727507806913036,0.07816260926517475,0.14001051594877517,0.781168520450592
station00,5,96,MultiStep,0.3685331642627716,0.6002107518324036,0.07092503748050266,0.11551191099740661,0.8515857458114624
station00,5,96,Iterative,0.35359567403793335,0.6583520285048357,0.06805028384420335,0.12670133064002054,0.8214399218559265
station00,7,1,MultiStep,0.13417641818523407,0.293187352322143,0.025822553874695224,0.056424566277108665,0.9640455842018127
station00,7,1,Iterative,0.1474631279706955,0.2904683029064659,0.028379611097514097,0.055901279093161414,0.9647094011306763
station00,7,16,MultiStep,0.3373239040374756,0.6205095146427216,0.06491874505999312,0.11941845361755223,0.8388702869415283
station00,7,16,Iterative,0.4325365126132965,0.7507145577142846,0.08324262602024649,0.14447670740720703,0.7641540169715881
station00,7,96,MultiStep,0.3865354061126709,0.6296992544586871,0.07438960946954294,0.1211870397424598,0.8366442918777466
station00,7,96,Iterative,0.39782801270484924,0.6797989501781163,0.0765628970416534,0.1308288390192508,0.8096166849136353
station01,1,1,MultiStep,0.46809566020965576,1.076797552705679,0.024026554804372335,0.05527018858006351,0.9674520492553711
station01,1,1,Iterative,0.479764461517334,1.079191150657562,0.024625494546720493,0.05539304789549658,0.9673072099685669
station01,1,16,MultiStep,1.1859142780303955,1.9491539220024967,0.06087096466910845,0.10004675862231854,0.8932576775550842
station01,1,16,Iterative,1.5127421617507935,2.5878222647221163,0.07764648456238857,0.1328285193660471,0.8118460178375244
station01,1,96,MultiStep,1.4857184886932373,2.336108249305225,0.07625940534562761,0.1199084666919125,0.8466744422912598
station01,1,96,Iterative,2.7053706645965576,3.6516258799023293,0.13886207898179864,0.18743175121350522,0.6253711581230164
station01,2,1,MultiStep,0.5339708924293518,1.1077403530629717,0.027407818532535037,0.05685842994135334,0.965593695640564
station01,2,1,Iterative,0.4831685423851013,1.0717943055498655,0.024800220233113943,0.05501338040556531,0.967790424823761
station01,2,16,MultiStep,1.2049528360366821,2.0292675027199385,0.06184818149938068,0.10415885258366823,0.8844533562660217
